City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,San Patricio,US,76.15,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
4,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
5,Aksu,CN,74.26,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
11,Bayeux,BR,77.63,clear sky,-7.125,-34.9322,Infinity Motel
14,Bredasdorp,ZA,73.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
16,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Bandarbeyla,SO,87.01,scattered clouds,9.4942,50.8122,JABIR HOTEL
25,Hermanus,ZA,66.2,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
30,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
31,Cape Town,ZA,73.11,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
33,Shenzhen,CN,79.86,scattered clouds,22.5455,114.0683,Grand Skylight
34,Mount Isa,AU,83.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
35,East London,ZA,85.93,overcast clouds,-33.0153,27.9116,Tu Casa
36,Mahebourg,MU,81.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Kapaa,US,73.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Rikitea,PF,78.39,light rain,-23.1203,-134.9692,People ThankYou
41,Honiara,SB,79.65,overcast clouds,-9.4333,159.95,Heritage Park Hotel
42,Baft,IR,74.48,scattered clouds,29.234,56.6057,Paeez Hotel & restaurant
43,Tsabong,BW,72.97,scattered clouds,-26.0217,22.401,Springbok Motel
44,San Andres,CO,80.06,clear sky,12.5847,-81.7006,Hotel Arena Blanca
46,Jardim,BR,66.87,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
48,Paravur,IN,89.62,broken clouds,8.7833,76.7,Bluewater Beach Resort
49,Bani Walid,LY,90.7,broken clouds,31.7566,13.9942,منزل مفتاح محمد الزلبي
56,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
59,Maua,BR,65.35,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
60,Hit,IQ,83.19,clear sky,33.6416,42.8251,بيت ابو رباح
63,Jiazi,CN,74.01,few clouds,22.8779,116.067,Hotel Jin Hao
64,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
70,Ishigaki,JP,77.68,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
71,Kupang,ID,81.55,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
72,Abha,SA,79.05,few clouds,18.2164,42.5053,Abha Hotel
73,Shache,CN,81.81,overcast clouds,38.4167,77.2406,Delong Hotel
74,Puerto Ayora,EC,73.09,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Xapuri,BR,71.29,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
76,Dhidhdhoo,MV,85.19,overcast clouds,6.8833,73.1,Dhidhoo beach
77,Victoria,HK,79.97,few clouds,22.2855,114.1577,Mini Hotel Central
