City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,50.49,99,98,1.03,overcast clouds
1,New Norfolk,AU,-42.7826,147.0587,46.71,56,21,1.99,few clouds
2,Minsk,BY,53.9,27.5667,46.15,92,100,14.25,overcast clouds
3,San Patricio,US,28.017,-97.5169,76.15,95,24,12.17,few clouds
4,Oistins,BB,13.0667,-59.5333,77.09,73,20,14.97,few clouds
5,Aksu,CN,41.1231,80.2644,74.26,22,100,4.16,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,40.66,70,75,12.66,broken clouds
7,Yellowknife,CA,62.456,-114.3525,5.04,98,78,3.89,broken clouds
8,Albany,US,42.6001,-73.9662,36.73,76,97,3.67,overcast clouds
9,Ust-Tsilma,RU,65.441,52.1498,29.55,64,100,6.71,overcast clouds
10,Hobart,AU,-42.8794,147.3294,47.05,70,12,3.44,few clouds
11,Bayeux,BR,-7.125,-34.9322,77.63,88,0,5.75,clear sky
12,Namie,JP,37.4833,141.0,64.71,80,100,9.46,overcast clouds
13,Mildura,AU,-34.2,142.15,60.76,59,100,4.61,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,73.92,55,1,6.11,clear sky
15,Vostok,RU,46.4856,135.8833,50.95,64,6,5.12,clear sky
16,Vaini,TO,-21.2,-175.2,75.36,94,75,3.44,broken clouds
17,San Cristobal,VE,7.7669,-72.225,64.58,97,100,3.06,overcast clouds
18,Bandarbeyla,SO,9.4942,50.8122,87.01,60,35,11.52,scattered clouds
19,Turukhansk,RU,65.8167,87.9833,22.8,73,100,5.26,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,52.88,94,75,14.0,broken clouds
21,Bluff,NZ,-46.6,168.3333,50.81,82,66,5.23,broken clouds
22,Rafai,CF,4.95,23.9167,84.85,57,100,4.83,overcast clouds
23,Upernavik,GL,72.7868,-56.1549,-0.81,72,100,12.55,overcast clouds
24,Flinders,AU,-34.5833,150.8552,64.38,72,91,9.75,overcast clouds
25,Hermanus,ZA,-34.4187,19.2345,66.2,78,25,6.82,scattered clouds
26,Avarua,CK,-21.2078,-159.775,77.05,61,40,11.5,scattered clouds
27,Nikolskoye,RU,59.7035,30.7861,55.29,51,13,9.86,few clouds
28,Talnakh,RU,69.4865,88.3972,22.21,78,63,1.16,broken clouds
29,Anadyr,RU,64.75,177.4833,32.0,98,100,5.99,overcast clouds
30,Carnarvon,AU,-24.8667,113.6333,75.27,73,63,6.91,broken clouds
31,Cape Town,ZA,-33.9258,18.4232,73.11,66,21,5.99,few clouds
32,Tasiilaq,GL,65.6145,-37.6368,35.76,81,98,2.37,overcast clouds
33,Shenzhen,CN,22.5455,114.0683,79.86,83,30,8.3,scattered clouds
34,Mount Isa,AU,-20.7333,139.5,83.97,24,2,17.27,light rain
35,East London,ZA,-33.0153,27.9116,85.93,37,100,1.03,overcast clouds
36,Mahebourg,MU,-20.4081,57.7,81.25,75,93,10.87,overcast clouds
37,Barcelos,PT,41.5388,-8.6151,54.91,64,71,3.85,light rain
38,Svetlaya,RU,46.5389,138.3297,45.75,81,12,15.66,few clouds
39,Kapaa,US,22.0752,-159.319,73.38,95,75,14.97,broken clouds
40,Rikitea,PF,-23.1203,-134.9692,78.39,75,90,22.39,light rain
41,Honiara,SB,-9.4333,159.95,79.65,86,86,5.12,overcast clouds
42,Baft,IR,29.234,56.6057,74.48,8,38,14.05,scattered clouds
43,Tsabong,BW,-26.0217,22.401,72.97,40,29,11.52,scattered clouds
44,San Andres,CO,12.5847,-81.7006,80.06,78,7,10.18,clear sky
45,Asau,RO,46.4333,26.4,54.28,48,87,13.0,overcast clouds
46,Jardim,BR,-21.4803,-56.1381,66.87,74,41,2.86,scattered clouds
47,Tiksi,RU,71.6872,128.8694,9.64,95,99,4.45,overcast clouds
48,Paravur,IN,8.7833,76.7,89.62,67,78,10.94,broken clouds
49,Bani Walid,LY,31.7566,13.9942,90.7,9,68,31.03,broken clouds
50,Nassau,US,40.7507,-73.5829,46.85,93,70,1.01,broken clouds
51,Kempsey,AU,-31.0833,152.8333,63.95,87,61,1.99,broken clouds
52,Castro,BR,-24.7911,-50.0119,52.77,96,24,1.74,few clouds
