City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-04-18 17:56:47,-21.3585,55.7679,78.39,87,42,11.16
1,Pevek,RU,2022-04-18 17:56:48,69.7008,170.3133,8.13,95,100,5.08
2,East London,ZA,2022-04-18 17:56:49,-33.0153,27.9116,65.34,94,75,12.66
3,Bambous Virieux,MU,2022-04-18 17:56:49,-20.3428,57.7575,79.21,94,75,11.5
4,Castro,BR,2022-04-18 17:56:42,-24.7911,-50.0119,68.27,55,46,4.03
5,Sioux Lookout,CA,2022-04-18 17:56:51,50.1001,-91.917,30.27,69,75,10.36
6,Hithadhoo,MV,2022-04-18 17:56:52,-0.6,73.0833,83.52,71,100,2.75
7,Carlsbad,US,2022-04-18 17:56:52,33.1581,-117.3506,80.35,75,38,3.0
8,Brooks,CA,2022-04-18 17:53:47,50.5834,-111.8851,45.03,45,57,11.5
9,Puerto Ayora,EC,2022-04-18 17:56:53,-0.7393,-90.3518,78.76,83,91,8.55
10,Vernon,CA,2022-04-18 17:56:54,50.2581,-119.2691,51.6,40,100,5.75
11,Rikitea,PF,2022-04-18 17:56:55,-23.1203,-134.9692,78.13,67,9,14.43
12,Am Timan,TD,2022-04-18 17:56:55,11.0297,20.2827,79.59,67,100,6.93
13,Ushuaia,AR,2022-04-18 17:56:56,-54.8,-68.3,46.02,87,75,4.61
14,Saskylakh,RU,2022-04-18 17:56:56,71.9167,114.0833,13.3,94,100,15.77
15,Fortuna,US,2022-04-18 17:56:57,40.5982,-124.1573,57.09,76,100,20.71
16,Narsaq,GL,2022-04-18 17:56:57,60.9167,-46.05,38.66,50,34,7.34
17,Ponta Do Sol,PT,2022-04-18 17:56:58,32.6667,-17.1,70.12,55,9,12.46
18,Merauke,ID,2022-04-18 17:56:59,-8.4667,140.3333,78.42,87,100,3.42
19,Atherton,GB,2022-04-18 17:56:59,53.5237,-2.4935,55.29,64,97,1.99
20,Cap Malheureux,MU,2022-04-18 17:57:00,-19.9842,57.6142,79.47,87,47,5.01
21,Pimenta Bueno,BR,2022-04-18 17:57:01,-11.6725,-61.1936,84.56,69,52,4.07
22,Camacha,PT,2022-04-18 17:57:01,33.0833,-16.3333,60.22,72,75,16.11
23,Lagoa,PT,2022-04-18 17:57:02,39.05,-27.9833,58.39,68,72,16.08
